Events,Temp_Avg_Celsius,Precipitations_cm,date,count
"",29.444444444444446,0.0,2015-07-15,397
"Rain , Thunderstorm",24.444444444444446,0.2794,2016-05-12,519
"",20.0,0.0,2017-03-30,584
"Rain , Thunderstorm",25.0,1.7018000000000002,2015-05-29,627
"Fog , Rain",20.0,0.8382000000000001,2014-11-21,221
"",19.444444444444446,0.0,2015-12-23,325
"",10.0,0.0,2015-12-04,277
"",13.88888888888889,0.0,2015-01-25,587
Rain,21.11111111111111,"",2015-11-04,390
"",32.22222222222222,0.0,2016-07-24,561
Rain,21.666666666666668,0.6604,2015-11-26,140
"",27.222222222222225,0.0,2014-05-30,576
"",27.77777777777778,0.0,2014-05-31,689
"",19.444444444444446,0.0,2016-02-28,597
"Rain , Thunderstorm",22.22222222222222,1.8542,2017-03-29,470
"",13.88888888888889,0.0,2015-12-07,355
Rain,22.77777777777778,"",2017-02-06,329
"",11.11111111111111,0.0,2014-01-15,81
"",18.333333333333336,0.0,2015-02-11,245
"",21.666666666666668,0.0,2016-10-09,1915
"",11.666666666666668,0.0,2016-01-24,712
"",11.666666666666668,0.0,2014-03-07,1070
"",15.555555555555557,0.0,2014-01-26,215
"",16.11111111111111,0.0,2017-01-23,323
"",27.77777777777778,0.0,2016-08-27,783
"",23.333333333333336,0.0,2014-10-17,682
Rain,16.666666666666668,0.1524,2014-12-04,153
"",28.88888888888889,0.0,2014-07-10,364
"",3.8888888888888893,0.0,2015-01-14,106
"",18.333333333333336,0.0,2015-12-10,382
"",22.22222222222222,"",2016-05-01,696
"",20.555555555555557,0.0,2017-04-08,1068
"",30.555555555555557,0.0,2014-07-26,605
"",2.7777777777777777,0.0,2017-01-08,219
Rain,27.222222222222225,0.4318,2016-08-18,267
"",31.666666666666668,0.0,2017-06-17,693
"",22.77777777777778,0.0,2014-04-11,615
"",11.666666666666668,0.0,2014-12-21,263
"",7.222222222222222,0.0,2013-12-23,96
Rain,18.88888888888889,0.20320000000000002,2016-11-07,352
"Rain , Thunderstorm",23.333333333333336,1.016,2015-05-11,195
"",18.88888888888889,0.0,2015-03-28,1299
"",17.22222222222222,0.0,2016-02-12,607
"",31.666666666666668,0.0,2014-08-09,515
"",29.444444444444446,0.0,2016-09-16,501
"",25.0,0.0,2015-10-07,473
"Rain , Thunderstorm",3.8888888888888893,0.3302,2015-03-05,146
Rain,1.1111111111111112,0.254,2015-02-28,41
"",21.666666666666668,0.0,2014-10-21,366
Rain,17.77777777777778,1.8542,2017-03-11,583
